u,v,key,oneway,length,ref,bridge,junction,tunnel,area,geometry
176448847,176434220,0,True,374.65100000000007,CO 119,,,,,"LINESTRING (475828.1135104399 4429471.700631827, 475813.86633438524 4429467.883414397, 475759.6962245402 4429453.382768776, 475736.39667159814 4429447.67439728, 475715.1458876192 4429444.823144452, 475696.095385124 4429444.1625577845, 475677.05802807014 4429444.944871214, 475660.42334985104 4429447.151337131, 475642.25737185153 4429450.872233802, 475550.42791617167 4429477.028033302, 475532.13772830507 4429481.89281012, 475516.7686823734 4429484.861363364, 475493.513647204 4429487.699968644, 475473.4293719652 4429489.307506929, 475461.3874849222 4429489.257561309)"
176448851,3351870775,0,False,9.487,,,,,,"LINESTRING (476052.0252480668 4429531.360665577, 476049.715830666 4429540.546965191)"
176448851,3351870787,0,True,57.844,CO 119,,,,,"LINESTRING (476052.0252480668 4429531.360665577, 476037.9489799533 4429527.542491468, 475995.98625711375 4429516.5978475865)"
176448953,3351870781,0,True,69.613,CO 119,,,,,"LINESTRING (475930.81364263926 4429487.768378635, 475998.356743411 4429505.1471049655)"
176448953,3351870770,0,False,11.259,,,,,,"LINESTRING (475930.81364263926 4429487.768378635, 475928.1428730833 4429498.687332333)"
176448953,540971400,0,False,72.422,,,,,,"LINESTRING (475930.81364263926 4429487.768378635, 475931.11306166765 4429474.515003061, 475938.2527728739 4429446.466965593, 475947.26478470437 4429446.42735679, 475953.7371045168 4429444.797506291, 475965.11893685686 4429435.804482595)"
176448955,176448847,0,False,11.708,,,,,,"LINESTRING (475829.51037547895 4429460.097541759, 475828.1135104399 4429471.700631827)"
176448955,3351870780,0,False,24.846,,,,,,"LINESTRING (475829.51037547895 4429460.097541759, 475811.882736297 4429442.583577754)"
176448955,176448953,0,True,104.825,CO 119,,,,,"LINESTRING (475829.51037547895 4429460.097541759, 475840.596655674 4429462.892605553, 475930.81364263926 4429487.768378635)"
176448955,3351870788,0,False,41.51,,,,,,"LINESTRING (475829.51037547895 4429460.097541759, 475830.173561951 4429453.946484561, 475829.39021528483 4429449.143026599, 475827.1883900497 4429435.720009805, 475823.69690573995 4429419.304313561)"
